tripId,vehicleVin,driverId,timestampUtc,odometerKm,fuelConsumedL,vehicleStatus,routeCode
TRIP-10001,1FM5K8GC7HZA00001,DRV-634,2026-06-12T14:46:00,37508.0,9.3,ACTIVE,RT-PUE-VER
TRIP-10002,1FM5K8GC7HZA00002,DRV-161,2026-06-12T14:28:00,2231.0,41.2,IN_REPAIR,RT-GDL-MAN
TRIP-10003,1FM5K8GC7HZA00003,DRV-188,2026-06-12T14:45:00,20115.9,41.4,ACTIVE,RT-CDMX-QRO
TRIP-10004,1FM5K8GC7HZA00004,DRV-474,2026-06-12T14:43:00,34201.9,36.0,INACTIVE,RT-CDMX-QRO
TRIP-10005,1FM5K8GC7HZA00005,DRV-250,2026-06-12T14:19:00,44771.1,23.9,IN_REPAIR,RT-MTY-LDO
TRIP-10006,1FM5K8GC7HZA00006,DRV-392,2026-06-12T14:22:00,45958.0,25.7,INACTIVE,RT-PUE-VER
TRIP-10007,1FM5K8GC7HZA00007,DRV-426,2026-06-12T14:11:00,43839.5,48.2,INACTIVE,RT-PUE-VER
TRIP-10008,1FM5K8GC7HZA00008,DRV-386,2026-06-12T14:06:00,44493.9,42.6,IN_REPAIR,RT-MTY-LDO
TRIP-10009,1FM5K8GC7HZA00009,DRV-821,2026-06-12T14:03:00,56856.7,40.0,ACTIVE,RT-PUE-VER
TRIP-10010,1FM5K8GC7HZA00010,DRV-738,2026-06-12T14:39:00,70022.9,37.1,ACTIVE,RT-CDMX-QRO
TRIP-10011,1FM5K8GC7HZA00011,DRV-134,2026-06-12T14:27:00,53241.1,8.0,INACTIVE,RT-MTY-LDO
TRIP-10012,1FM5K8GC7HZA00012,DRV-619,2026-06-12T14:44:00,90044.6,22.1,ACTIVE,RT-CDMX-QRO
TRIP-10013,1FM5K8GC7HZA00013,DRV-303,2026-06-12T14:00:00,5666.8,14.4,ACTIVE,RT-PUE-VER
TRIP-10014,1FM5K8GC7HZA00014,DRV-456,2026-06-12T14:35:00,68710.7,7.4,INACTIVE,RT-PUE-VER
TRIP-10015,1FM5K8GC7HZA00015,DRV-331,2026-06-12T14:06:00,32009.9,37.6,IN_REPAIR,RT-GDL-MAN
TRIP-10016,1FM5K8GC7HZA00016,DRV-857,2026-06-12T14:45:00,68427.9,46.3,IN_REPAIR,RT-GDL-MAN
TRIP-10017,1FM5K8GC7HZA00017,DRV-184,2026-06-12T14:28:00,60261.6,36.0,IN_REPAIR,RT-MTY-LDO
TRIP-10018,1FM5K8GC7HZA00018,DRV-340,2026-06-12T14:37:00,32885.8,10.6,INACTIVE,RT-MTY-LDO
TRIP-10019,1FM5K8GC7HZA00019,DRV-605,2026-06-12T14:20:00,7748.4,43.5,ACTIVE,RT-CDMX-QRO
TRIP-10020,1FM5K8GC7HZA00020,DRV-574,2026-06-12T14:54:00,46431.1,34.0,INACTIVE,RT-PUE-VER
TRIP-10021,1FM5K8GC7HZA00021,DRV-682,2026-06-12T14:33:00,29435.3,13.0,INACTIVE,RT-MTY-LDO
TRIP-10022,1FM5K8GC7HZA00022,DRV-163,2026-06-12T14:09:00,72040.7,3.9,ACTIVE,RT-GDL-MAN
TRIP-10023,1FM5K8GC7HZA00023,DRV-703,2026-06-12T14:35:00,78993.3,13.7,IN_REPAIR,RT-MTY-LDO
TRIP-10024,1FM5K8GC7HZA00024,DRV-799,2026-06-12T14:17:00,90147.0,1.7,ACTIVE,RT-PUE-VER
TRIP-10025,1FM5K8GC7HZA00025,DRV-479,2026-06-12T14:24:00,99361.9,22.9,IN_REPAIR,RT-CDMX-QRO
TRIP-10026,1FM5K8GC7HZA00026,DRV-107,2026-06-12T14:50:00,37321.2,23.0,ACTIVE,RT-GDL-MAN
TRIP-10027,1FM5K8GC7HZA00027,DRV-744,2026-06-12T14:08:00,21019.0,14.8,ACTIVE,RT-CDMX-QRO
TRIP-10028,1FM5K8GC7HZA00028,DRV-627,2026-06-12T14:30:00,61423.2,9.0,ACTIVE,RT-PUE-VER
TRIP-10029,1FM5K8GC7HZA00029,DRV-251,2026-06-12T14:38:00,81866.2,0.9,INACTIVE,RT-GDL-MAN
TRIP-10030,1FM5K8GC7HZA00030,DRV-702,2026-06-12T14:55:00,41385.7,1.6,IN_REPAIR,RT-GDL-MAN
TRIP-10031,1FM5K8GC7HZA00031,DRV-412,2026-06-12T14:33:00,54138.6,49.1,INACTIVE,RT-CDMX-QRO
TRIP-10032,1FM5K8GC7HZA00032,DRV-904,2026-06-12T14:09:00,79641.6,13.7,IN_REPAIR,RT-MTY-LDO
TRIP-10033,1FM5K8GC7HZA00033,DRV-430,2026-06-12T14:54:00,77654.5,23.2,ACTIVE,RT-CDMX-QRO
TRIP-10034,1FM5K8GC7HZA00034,DRV-177,2026-06-12T14:25:00,99188.9,36.0,IN_REPAIR,RT-CDMX-QRO
TRIP-10035,1FM5K8GC7HZA00035,DRV-179,2026-06-12T14:16:00,2374.5,38.0,IN_REPAIR,RT-GDL-MAN
TRIP-10036,1FM5K8GC7HZA00036,DRV-257,2026-06-12T14:38:00,67912.3,2.2,IN_REPAIR,RT-MTY-LDO
TRIP-10037,1FM5K8GC7HZA00037,DRV-484,2026-06-12T14:05:00,73904.0,26.6,IN_REPAIR,RT-GDL-MAN
TRIP-10038,1FM5K8GC7HZA00038,DRV-199,2026-06-12T14:57:00,13480.0,17.1,ACTIVE,RT-GDL-MAN
TRIP-10039,1FM5K8GC7HZA00039,DRV-546,2026-06-12T14:19:00,3499.4,26.3,INACTIVE,RT-MTY-LDO
TRIP-10040,1FM5K8GC7HZA00040,DRV-299,2026-06-12T14:03:00,76614.9,28.1,IN_REPAIR,RT-CDMX-QRO
TRIP-10041,1FM5K8GC7HZA00041,DRV-412,2026-06-12T14:11:00,6294.7,10.0,ACTIVE,RT-MTY-LDO
TRIP-10042,1FM5K8GC7HZA00042,DRV-638,2026-06-12T14:00:00,22702.4,4.5,ACTIVE,RT-MTY-LDO
TRIP-10043,1FM5K8GC7HZA00043,DRV-604,2026-06-12T14:29:00,67007.6,37.5,INACTIVE,RT-MTY-LDO
TRIP-10044,1FM5K8GC7HZA00044,DRV-524,2026-06-12T14:10:00,75648.0,1.9,IN_REPAIR,RT-MTY-LDO
TRIP-10045,1FM5K8GC7HZA00045,DRV-568,2026-06-12T14:26:00,18483.5,15.4,INACTIVE,RT-GDL-MAN
TRIP-10046,1FM5K8GC7HZA00046,DRV-396,2026-06-12T14:54:00,715.1,30.0,ACTIVE,RT-CDMX-QRO
TRIP-10047,1FM5K8GC7HZA00047,DRV-833,2026-06-12T14:30:00,2905.5,24.4,INACTIVE,RT-PUE-VER
TRIP-10048,1FM5K8GC7HZA00048,DRV-446,2026-06-12T14:40:00,55245.1,27.0,INACTIVE,RT-GDL-MAN
TRIP-10049,1FM5K8GC7HZA00049,DRV-212,2026-06-12T14:24:00,93796.6,36.2,IN_REPAIR,RT-GDL-MAN
TRIP-10050,1FM5K8GC7HZA00050,DRV-113,2026-06-12T14:51:00,42235.6,11.6,IN_REPAIR,RT-PUE-VER
TRIP-10051,1FM5K8GC7HZA00051,DRV-768,2026-06-12T14:59:00,22397.1,7.4,INACTIVE,RT-MTY-LDO
TRIP-10052,1FM5K8GC7HZA00052,DRV-298,2026-06-12T14:46:00,855.2,33.5,INACTIVE,RT-PUE-VER
TRIP-10053,1FM5K8GC7HZA00053,DRV-475,2026-06-12T14:53:00,14758.7,29.0,IN_REPAIR,RT-PUE-VER
TRIP-10054,1FM5K8GC7HZA00054,DRV-483,2026-06-12T14:13:00,96418.4,40.0,IN_REPAIR,RT-GDL-MAN
TRIP-10055,1FM5K8GC7HZA00055,DRV-891,2026-06-12T14:26:00,71385.9,36.7,INACTIVE,RT-MTY-LDO
TRIP-10056,1FM5K8GC7HZA00056,DRV-212,2026-06-12T14:42:00,97334.3,29.3,IN_REPAIR,RT-PUE-VER
TRIP-10057,1FM5K8GC7HZA00057,DRV-203,2026-06-12T14:09:00,23285.9,42.3,ACTIVE,RT-GDL-MAN
TRIP-10058,1FM5K8GC7HZA00058,DRV-824,2026-06-12T14:48:00,49073.5,32.6,IN_REPAIR,RT-GDL-MAN
TRIP-10059,1FM5K8GC7HZA00059,DRV-947,2026-06-12T14:11:00,49450.9,0.1,IN_REPAIR,RT-MTY-LDO
TRIP-10060,1FM5K8GC7HZA00060,DRV-695,2026-06-12T14:31:00,59348.3,27.7,ACTIVE,RT-CDMX-QRO
TRIP-10061,1FM5K8GC7HZA00061,DRV-103,2026-06-12T14:52:00,99436.0,29.9,IN_REPAIR,RT-GDL-MAN
TRIP-10062,1FM5K8GC7HZA00062,DRV-248,2026-06-12T14:51:00,63620.8,1.6,IN_REPAIR,RT-PUE-VER
TRIP-10063,1FM5K8GC7HZA00063,DRV-562,2026-06-12T14:05:00,6059.5,30.5,INACTIVE,RT-PUE-VER
TRIP-10064,1FM5K8GC7HZA00064,DRV-259,2026-06-12T14:56:00,84415.1,11.1,IN_REPAIR,RT-PUE-VER
TRIP-10065,1FM5K8GC7HZA00065,DRV-548,2026-06-12T14:12:00,37331.2,46.9,INACTIVE,RT-GDL-MAN
TRIP-10066,1FM5K8GC7HZA00066,DRV-466,2026-06-12T14:43:00,96040.4,10.5,INACTIVE,RT-GDL-MAN
TRIP-10067,1FM5K8GC7HZA00067,DRV-403,2026-06-12T14:25:00,48631.9,41.9,INACTIVE,RT-PUE-VER
TRIP-10068,1FM5K8GC7HZA00068,DRV-213,2026-06-12T14:00:00,35217.2,39.1,INACTIVE,RT-GDL-MAN
TRIP-10069,1FM5K8GC7HZA00069,DRV-987,2026-06-12T14:37:00,54394.9,45.9,INACTIVE,RT-GDL-MAN
TRIP-10070,1FM5K8GC7HZA00070,DRV-488,2026-06-12T14:08:00,3004.8,41.6,INACTIVE,RT-PUE-VER
TRIP-10071,1FM5K8GC7HZA00071,DRV-503,2026-06-12T14:40:00,61451.8,41.9,IN_REPAIR,RT-PUE-VER
TRIP-10072,1FM5K8GC7HZA00072,DRV-384,2026-06-12T14:44:00,63965.5,38.3,INACTIVE,RT-CDMX-QRO
TRIP-10073,1FM5K8GC7HZA00073,DRV-206,2026-06-12T14:16:00,54430.5,42.7,INACTIVE,RT-CDMX-QRO
TRIP-10074,1FM5K8GC7HZA00074,DRV-265,2026-06-12T14:46:00,30535.5,30.1,INACTIVE,RT-PUE-VER
TRIP-10075,1FM5K8GC7HZA00075,DRV-267,2026-06-12T14:18:00,49151.4,7.3,INACTIVE,RT-CDMX-QRO
TRIP-10076,1FM5K8GC7HZA00076,DRV-789,2026-06-12T14:52:00,86257.8,32.7,INACTIVE,RT-PUE-VER
TRIP-10077,1FM5K8GC7HZA00077,DRV-744,2026-06-12T14:15:00,20544.6,26.0,ACTIVE,RT-GDL-MAN
TRIP-10078,1FM5K8GC7HZA00078,DRV-153,2026-06-12T14:47:00,82871.7,13.5,ACTIVE,RT-PUE-VER
TRIP-10079,1FM5K8GC7HZA00079,DRV-310,2026-06-12T14:24:00,48950.9,40.9,IN_REPAIR,RT-GDL-MAN
TRIP-10080,1FM5K8GC7HZA00080,DRV-457,2026-06-12T14:27:00,17749.2,1.8,IN_REPAIR,RT-MTY-LDO
TRIP-10081,1FM5K8GC7HZA00081,DRV-859,2026-06-12T14:53:00,62252.7,46.8,INACTIVE,RT-GDL-MAN
TRIP-10082,1FM5K8GC7HZA00082,DRV-967,2026-06-12T14:29:00,47592.1,33.2,ACTIVE,RT-CDMX-QRO
TRIP-10083,1FM5K8GC7HZA00083,DRV-321,2026-06-12T14:44:00,71936.3,32.4,ACTIVE,RT-GDL-MAN
TRIP-10084,1FM5K8GC7HZA00084,DRV-393,2026-06-12T14:04:00,75549.4,16.5,INACTIVE,RT-GDL-MAN
TRIP-10085,1FM5K8GC7HZA00085,DRV-574,2026-06-12T14:28:00,2960.7,13.2,IN_REPAIR,RT-MTY-LDO
TRIP-10086,1FM5K8GC7HZA00086,DRV-213,2026-06-12T14:34:00,65770.0,34.8,INACTIVE,RT-PUE-VER
TRIP-10087,1FM5K8GC7HZA00087,DRV-981,2026-06-12T14:34:00,71526.7,31.2,IN_REPAIR,RT-MTY-LDO
TRIP-10088,1FM5K8GC7HZA00088,DRV-906,2026-06-12T14:11:00,67047.2,18.6,IN_REPAIR,RT-GDL-MAN
